,candidates,distr,num_of_candidate,num_sent,num_token,replaced,result,source
0,"[',' 'a' '""' 'that' '--' 'But' 'And' 'Some' 'About' 'Only' 'Over']",[0. 0. 0. ... 0. 0. 0.],11,0,0,True,But,Almost
1,"[',' 'two' 'most' 'three' 'four' '10' 'five' 'six' 'eight' 'two-thirds'
 'one-third' 'three-quarters' 'one-quarter' 'three-fourths']",[0. 0. 0. ... 0. 0. 0.],14,0,1,True,three-quarters,half
2,,,0,0,2,False,of,of
3,,,0,0,3,False,all,all
4,,,0,0,4,False,iPhone,iPhone
5,,,0,0,5,False,owners,owners
6,,,0,0,6,False,have,have
7,"['<UNK>' ',' 'to' 'and' 'in' '""' 'on' 'at' 'or' 'all' 'set' 'use' 'run'
 'hit' 'cut' 'using' 'read' 'changed']",[0.         0.         0.05556452 ... 0.         0.         0.        ],18,0,7,True,hit,broken
8,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'a' 'in' '""' 'that' 'for' 'on' 'with'
 'at' 'from' 'his' 'more' 'or' 'its' 'up' 'one' 'two' 'all' 'over' 'into'
 'other' 'new' 'some' 'most' 'three' 'many' 'off' 'down' 'our' 'such'
 'those' 'my' 'four' 'both' 'these' 'five' 'several' 'old' 'data' 'TV'
 'phone' 'personal' 'Web' 'certain' 'mobile' 'contact' 'standard'
 'digital' 'screen' 'multiple' 'electronic']",[0.       0.       0.017845 ... 0.       0.       0.      ],56,0,8,True,his,their
9,"['<UNK>' 'the' ',' 'to' 'and' 'a' '""' 'it' ')' 'or' 'one' 'year' 'first'
 'other' 'time' 'back' 'off' 'world' 'company' 'country' 'way' 'work'
 'state' 'end' 'money' 'own' 'business' 'use' 'right' 'companies' 'deal'
 'little' 'information' 'pay' 'sales' 'prices' 'car' 'law' 'service'
 'services' 'tax' 'price' 'side' 'banks' 'credit' 'policy' 'online'
 'rates' 'music' 'products' 'book' 'insurance' 'friends' 'hand' 'phone'
 'personal' 'rules' 'terms' 'travel' 'numbers' 'feet' 'friend' 'Google'
 'product' 'hands' 'date' 'sex' 'relationship' 'target' 'contact' 'laws'
 'word' 'advertising' 'language' 'weight' 'Facebook' 'airline' 'e-mail'
 'partners' 'messages' 'phones' 'text' 'behavior' 'behaviour' 'code'
 'relationships' 'neck' 'sentences' 'habits']",[0.         0.         0.01124919 ... 0.         0.         0.        ],89,0,9,True,date,screens
